STATE,District Name,Market Name,Commodity,Variety,Grade,Min_Price,Max_Price,Modal_Price,Price Date
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,4000,4198,4100,8/17/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3546,3920,3733,8/22/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3300,3609,3450,8/25/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,2609,2964,2787,8/29/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3626,3820,3723,09-05-2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3626,3724,3675,09-11-2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3528,3724,3650,9/13/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3548,3626,3587,9/14/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3550,3600,3575,10-04-2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3600,4000,3800,10-09-2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3200,3500,3350,10-11-2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,,,,10/18/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,7810,8000,7905,10/25/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,6810,7000,6900,10/27/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,4950,6600,5775,11/17/2023
Tamilnadu,salem,Thammampati,Onion,Other,FAQ,3000,3300,3150,12/26/2023
Tamilnadu,salem,Thammampati,Onion,Other,FAQ,3000,3300,3150,12/27/2023
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,3650,4000,3800,01-08-2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,1800,2000,1910,1/18/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,2120,2200,2150,1/24/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,1800,2550,2500,02-09-2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,1700,2250,1850,2/16/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,1700,2300,1850,2/22/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,1800,2000,1900,2/26/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,2800,3000,2900,2/27/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,1800,2000,1900,2/28/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,2200,2500,2300,2/29/2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,1900,2100,1950,03-01-2024
Tamilnadu,namakkal,Namagiripettai,Onion,Onion,FAQ,2500,3000,2750,3/21/2024
Tamilnadu,thiruvarur,Mannargudi,Potato,(Red Nanital),Local,46,46,46,6/18/2024
Tamilnadu,theni,Bodinayakkanur,Potato,(Red Nanital),Local,40,43,43,6/18/2024
Tamilnadu,nagapattinam,Nagapattinam,Potato,(Red Nanital),Local,40,45,45,6/18/2024
Tamilnadu,ramanathapuram,Paramakudi,Potato,(Red Nanital),Local,50,60,60,6/18/2024
Tamilnadu,erode,Gobichettipalayam,Potato,(Red Nanital),Local,45,48,48,6/18/2024
Tamilnadu,theni,Cumbum,Potato,(Red Nanital),Local,40,40,40,6/18/2024
Tamilnadu,coimbatore,Pollachi,Potato,(Red Nanital),Local,55,65,65,6/18/2024
Tamilnadu,thanjavur,Kumbakonam,Potato,(Red Nanital),Local,40,46,46,6/18/2024
Tamilnadu,villupuram,Tindivanam,Potato,(Red Nanital),Local,46,46,46,6/18/2024
Tamilnadu,vellore,Thirupathur,Potato,(Red Nanital),Local,35,40,40,6/18/2024
Tamilnadu,vellore,Arcot,Potato,(Red Nanital),Local,40,40,40,6/18/2024
Tamilnadu,vellore,Gudiyatham,Potato,(Red Nanital),Local,45,45,45,6/18/2024
Tamilnadu,dindigul,Palani,Potato,(Red Nanital),Local,44,50,50,6/18/2024
Tamilnadu,namakkal,Namakkal,Potato,(Red Nanital),Local,40,44,44,6/18/2024
Tamilnadu,vellore,Katpadi(Uzhavar Santhai),Potato,(Red Nanital),Local,40,40,40,6/18/2024
Tamilnadu,sivaganga,Karaikudi,Potato,(Red Nanital),Local,46,46,46,6/18/2024
Tamilnadu,virudhunagar,Virudhunagar,Potato,(Red Nanital),Local,43,44,44,6/18/2024
Tamilnadu,dharmapuri,Palakode,Potato,(Red Nanital),Local,36,46,46,6/18/2024
Tamilnadu,kancheepuram,Chengalpattu,Potato,(Red Nanital),Local,40,45,45,6/18/2024
Tamilnadu,coimbatore,Sulur,Potato,(Red Nanital),Local,80,90,90,6/18/2024
Tamilnadu,coimbatore,Palladam,Potato,(Red Nanital),Local,35,45,45,6/18/2024
Tamilnadu,erode,Perundurai,Potato,(Red Nanital),Local,44,46,46,6/18/2024
Tamilnadu,ramanathapuram,Sivagangai,Potato,(Red Nanital),Local,46,62,62,6/18/2024
Tamilnadu,thiruvarur,Tiruthuraipoondi,Potato,(Red Nanital),Local,45,45,45,6/18/2024
Tamilnadu,thanjavur,Pattukottai,Potato,(Red Nanital),Local,44,44,44,6/18/2024
Tamilnadu,sivaganga,Singampuneri,Potato,(Red Nanital),Local,45,55,55,6/18/2024
Tamilnadu,salem,Thammampati,Potato,(Red Nanital),Local,46,50,50,6/18/2024
Tamilnadu,nagapattinam,Sirkali,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,virudhunagar,Sathur,Potato,(Red Nanital),Local,42,50,50,6/18/2024
Tamilnadu,namakkal,Tiruchengode,Potato,(Red Nanital),Local,40,45,45,6/18/2024
Tamilnadu,salem,Edappadi,Potato,(Red Nanital),Local,45,50,50,6/18/2024
Tamilnadu,krishnagiri,Denkanikottai,Potato,(Red Nanital),Local,40,45,45,6/18/2024
Tamilnadu,cuddalore,Panruti,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,thanjavur,Papanasam,Potato,(Red Nanital),Local,46,46,46,6/18/2024
Tamilnadu,villupuram,Kallakurichi,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,cuddalore,Cuddalore,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,dindigul,Dindigul,Potato,(Red Nanital),Local,40,50,50,6/18/2024
Tamilnadu,erode,Dharapuram,Potato,(Red Nanital),Local,45,75,75,6/18/2024
Tamilnadu,sivaganga,Devakottai,Potato,(Red Nanital),Local,50,65,65,6/18/2024
Tamilnadu,karur,Karur,Potato,(Red Nanital),Local,50,70,70,6/18/2024
Tamilnadu,namakkal,Rasipuram,Potato,(Red Nanital),Local,45,50,50,6/18/2024
Tamilnadu,thanjavur,Thanjavur,Potato,(Red Nanital),Local,44,44,44,6/18/2024
Tamilnadu,theni,Theni,Potato,(Red Nanital),Local,0,42,42,6/18/2024
Tamilnadu,theni,Chinnamanur,Potato,(Red Nanital),Local,42,42,42,6/18/2024
Tamilnadu,vellore,Vaniyambadi,Potato,(Red Nanital),Local,45,45,45,6/18/2024
Tamilnadu,nagapattinam,Mailaduthurai,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,erode,Thalavadi,Potato,(Red Nanital),Local,40,45,45,6/18/2024
Tamilnadu,dharmapuri,Dharampuri,Potato,(Red Nanital),Local,40,44,44,6/18/2024
Tamilnadu,erode,Sathyamangalam,Potato,(Red Nanital),Local,40,45,45,6/18/2024
Tamilnadu,thirunelveli,Thenkasi,Potato,(Red Nanital),Local,40,40,40,6/18/2024
Tamilnadu,villupuram,Gingee,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,villupuram,Sangarapuram,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,thiruvarur,Thiruvarur,Potato,(Red Nanital),Local,46,46,46,6/18/2024
Tamilnadu,krishnagiri,Hosur,Potato,(Red Nanital),Local,35,40,40,6/18/2024
Tamilnadu,vellore,Vellore,Potato,(Red Nanital),Local,40,40,40,6/18/2024
Tamilnadu,thiruvarur,Mannarkudi,Potato,(Red Nanital),Local,46,46,46,6/18/2024
Tamilnadu,dharmapuri,Pennagaram,Potato,(Red Nanital),Local,42,44,44,6/18/2024
Tamilnadu,coimbatore,Udumalpet,Potato,(Red Nanital),Local,45,70,70,6/18/2024
Tamilnadu,kancheepuram,Kanchipuram,Potato,(Red Nanital),Local,40,50,50,6/18/2024
Tamilnadu,krishnagiri,Krishnagiri,Potato,(Red Nanital),Local,40,44,44,6/18/2024
Tamilnadu,villupuram,Ulundurpettai,Potato,(Red Nanital),Local,50,50,50,6/18/2024
Tamilnadu,salem,Attur,Potato,(Red Nanital),Local,45,50,50,6/18/2024
Tamilnadu,vellore,Vellore,Potato,(Red Nanital),Local,40,42,42,6/19/2024
Tamilnadu,coimbatore,Pollachi,Potato,(Red Nanital),Local,55,65,65,6/19/2024
Tamilnadu,villupuram,Ulundurpettai,Potato,(Red Nanital),Local,50,50,50,6/19/2024
Tamilnadu,ramanathapuram,Paramakudi,Potato,(Red Nanital),Local,60,65,65,6/19/2024
Tamilnadu,dharmapuri,Dharampuri,Potato,(Red Nanital),Local,45,48,48,6/19/2024
Tamilnadu,villupuram,Tindivanam,Potato,(Red Nanital),Local,46,46,46,6/19/2024
Tamilnadu,cuddalore,Cuddalore,Potato,(Red Nanital),Local,50,50,50,6/19/2024
Tamilnadu,namakkal,Rasipuram,Potato,(Red Nanital),Local,45,50,50,6/19/2024
Tamilnadu,coimbatore,Palladam,Potato,(Red Nanital),Local,35,45,45,6/19/2024
Tamilnadu,vellore,Gudiyatham,Potato,(Red Nanital),Local,45,45,45,6/19/2024
Tamilnadu,krishnagiri,Hosur,Potato,(Red Nanital),Local,35,40,40,6/19/2024
Tamilnadu,cuddalore,Chidambaram,Potato,(Red Nanital),Local,50,50,50,6/19/2024
Tamilnadu,thirunelveli,Thenkasi,Potato,(Red Nanital),Local,40,40,40,6/19/2024
Tamilnadu,dindigul,Palani,Potato,(Red Nanital),Local,46,55,55,6/19/2024
Tamilnadu,dindigul,Dindigul,Potato,(Red Nanital),Local,40,50,50,6/19/2024
Tamilnadu,thanjavur,Papanasam,Potato,(Red Nanital),Local,46,46,46,6/19/2024
Tamilnadu,kancheepuram,Kanchipuram,Potato,(Red Nanital),Local,40,45,45,6/19/2024
Tamilnadu,dharmapuri,Palakode,Potato,(Red Nanital),Local,40,46,46,6/19/2024
Tamilnadu,namakkal,Namakkal,Potato,(Red Nanital),Local,40,44,44,6/19/2024
Tamilnadu,kancheepuram,Chengalpattu,Potato,(Red Nanital),Local,42,48,48,6/19/2024
Tamilnadu,nagapattinam,Mailaduthurai,Potato,(Red Nanital),Local,50,50,50,6/19/2024
